fixture	base_exec	head_exec	base_dup_extras	head_dup_extras	base_sha	head_sha
fixtures2/00127_operator_sugar_rewrites.fz	10	8	2	0	7b8bf0c99bd0b060ba889f57338b1be9981f8263a557ffc647bba8a0568014c6	82caec5b6e21a94859ea42d4c8eabbd4ecbd934699b6a6414d8589ccc0ee13b7
fixtures2/00276_enum_to_list_and_map.fz	27	25	2	0	3add352b2d0acf3c3faf963c1f43104fa0e05484b99882da90ca830a03d8f585	f0b3a6ed6005521b082bcd7947c3f147271cd1218c6a65378d3e2dfe04f5aac9
fixtures2/00277_enum_tier0_fixture.fz	178	176	2	0	38dd95ef4d2f6aff576ac00f383bae55c8004a25dfbafe73b595bb28dd05512e	1556a53b5c3aa6aabf95c0c2a33af4558024a76d90e0d6c92621efa4bae67a29
fixtures2/00420_enum_take_drop_split.fz	237	230	7	0	aace25d327fb16da1a2b693f2ef0b7a84f90ee7b91997c74b570e9c14e617d0f	b363f3919d51145c2f788aefcbfe78148a59ac67f7277656a80ab0ae7a23664a
fixtures2/00531_elixir_binop_operators.fz	9	7	2	0	c5c4d1ff7b427c47818e67f42e7bdc6e5cde7fa54952cf22f892ae63011e62a6	e200f6a4131ce6f6680172918c91b8f2ce71f719e1359bda63b650a79b4f69c2
fixtures2/behavior/enum_map_family.fz	153	149	4	0	3020c81f26861400133ff29721a5497aaceb5fee442a0034f13091e156b89b89	818a3d5fe79cb16cf1fe111e293c4ed20d6f8accae6e53c3faed056fbaffc596
fixtures2/behavior/enum_take_drop_split.fz	237	230	7	0	f8160c377eca0952bc72cd479d217effcbb08c68a116521ad549f4e9cf02b2b6	7c02cc66f2d12ed3466258820928b414be8adc0cce9a6dff3e490796f27aea62
fixtures2/behavior/enum_tier0.fz	259	257	2	0	dc94340fcddc095ae93e9873c395890a273201d67503a9cb4fb040dff1c56120	f75d980ff50c6eded8af0abfde88a5516474ce2d86ebb2c23ed364e7b48762a8
fixtures2/behavior/list_primitives.fz	21	19	2	0	6708d8fcdce666acfa98bb5901d6c24439f86279645144a384de1d7b4e313f2f	061a69684bf382626645fb513890520d9fd7e5745fff3e8810f33b631fcae3ff
fixtures2/behavior/operator_sugars.fz	18	14	4	0	1cfabc548344db65114212e792ffaa76feef5fef0b60c60b80409c51f05b7e7c	4d4f810c74d3f327794717e6c3b07f3b45600eb9ad71d48e2ba8d10ed4fa73dd
